original_index,location_name,latitude,longitude,city,state
652,Doylestown,40.31011,-75.12989,Doylestown,pennsylvania
652,Delaware Valley College,40.29733,-75.15601,Doylestown,pennsylvania
653,Doylestown,40.31011,-75.12989,Doylestown,pennsylvania
659,DuBois,41.11923,-78.76003,DuBois,pennsylvania
660,Duncannon,52.22028,-6.91694,Duncannon,pennsylvania
662,Borough of Dushore,41.52496,-76.39868,Dushore,pennsylvania
663,Borough of East Brady,40.98364,-79.61319,East Brady,pennsylvania
664,East Stroudsburg,40.99954,-75.18129,East Stroudsburg,pennsylvania
665,East Stroudsburg,40.99954,-75.18129,East Stroudsburg,pennsylvania
677,Pittsburgh,40.44062,-79.99589,Elizabeth,pennsylvania
678,Chiques Creek,40.05454,-76.52802,Elizabethtown,pennsylvania
679,Purple Sage,41.5508,-109.32402,Elizabethtown,pennsylvania
682,Elverson,40.15676,-75.83271,Elverson,pennsylvania
685,Mountain Springs,36.0208,-115.5089,Ephrata,pennsylvania
691,Penn State University Park Airport,40.84867,-77.84917,Erie,pennsylvania
693,Erie County,42.11748,-80.09811,Erie,pennsylvania
693,Amman,31.95522,35.94503,Erie,pennsylvania
696,Fort Necessity,32.04793,-91.81791,Farmington,pennsylvania
700,Flourtown,40.10344,-75.2124,Flourtown,pennsylvania
700,Town of Bethlehem,41.63748,-73.21132,Flourtown,pennsylvania
704,Town of Bethlehem,41.63748,-73.21132,Franconia,pennsylvania
705,Town of Freedom,44.49863,-69.34707,Freedom,pennsylvania
706,Potter County,41.74492,-77.89581,Galeton,pennsylvania
708,Gettysburg,39.83093,-77.2311,Gettysburg,pennsylvania
713,Gettysburg,39.83093,-77.2311,Gettysburg,pennsylvania
722,City of Royal Oak,42.5084,-83.15387,Gettysburg,pennsylvania
725,Gettysburg,39.83093,-77.2311,Gettysburg,pennsylvania
728,Bale Grist Mill State Historic Park,38.54074,-122.50887,Glen Mills,pennsylvania
728,Glen Mills,39.91928,-75.49159,Glen Mills,pennsylvania
731,Granville County,36.30402,-78.65302,Granville,pennsylvania
733,Stockholm County,59.5,18.0,Greensburg,pennsylvania
733,Franklin Square,40.70732,-73.67596,Greensburg,pennsylvania
733,Pittsburgh,40.44062,-79.99589,Greensburg,pennsylvania
733,Pennsylvania,40.8,-77.7,Greensburg,pennsylvania
740,Grove City College,41.15562,-80.07923,Grove City,pennsylvania
740,Grove City,26.91423,-82.32704,Grove City,pennsylvania
741,Grove City,26.91423,-82.32704,Grove City,pennsylvania
741,Grove City College,41.15562,-80.07923,Grove City,pennsylvania
742,Grove City,26.91423,-82.32704,Grove City,pennsylvania
745,Harmarville,40.53118,-79.84838,Harmarville,pennsylvania
746,Harmarville,40.53118,-79.84838,Harmarville,pennsylvania
747,Harmarville,40.53118,-79.84838,Harmarville,pennsylvania
748,Harmony Town,18.21987,-78.13687,Harmony,pennsylvania
749,Susquehanna Township Police Department,40.32813,-76.87165,Harrisburg,pennsylvania
749,Harrisburg,40.2737,-76.88442,Harrisburg,pennsylvania
749,Cameron County,26.1515,-97.45286,Harrisburg,pennsylvania
753,Chest Creek,40.87701,-78.73059,Hastings,pennsylvania
753,Hastings District,-39.63333,176.85,Hastings,pennsylvania
